hebrew_day,hebrew_month,popular_name,full_name,years,quote,stream,role,image_url,sources,importance_score,biography,story,torah
2,תשרי,"הרב ה'מקדש דוד' זצ""ל","הגה""ק רַבִּי דָּוִד ב""ר עֲקִיבָא הַכֹּהֵן רַאפְּפּוֹרְט מִבַּרַנוֹבִיץ.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"הרב, בעל 'מִקְדַּשׁ דָּוִד', היה מִצֶּאֱצָאֵי הַגְּרָ""א ורבי עקיבא אייגר. מִילדותו נחשב לעילוי ולמד בישיבות שונות בליטא. בגיל צעיר הוציא לאור את ספרו הראשון 'צמח דוד' על תשובות זקנו. לאחר מכן חיבר את 'מִקְדַּשׁ דָּוִד' על עניני קדשים, טהרות וזרעים. הגאון רבי בָּרוּךְ בער ליבוביץ העיד שספר כזה אי אפשר לחבר ללא רוח הקודש. שירת כרם""ח בישיבת 'אהל תורה' בבָּרַנוֹבִיץ' בראשות הגר""א אלחנן וסרמן. בשנת תש""א הוגלה על ידי הרוסים למחנה ריכוז, ושם נפטר בראש השנה תש""ב.",,
3,תשרי,"הרב ה'מגן אברהם' זצ""ל","הגה""ק רַבִּי אַבְרָהָם אַבֶּלִי ב""ר חַיִּים הַלֵּוִי גּוּמְבִּינֶר, אַבַּ""ד קַאלִישׁ.",,,,,2935006116763819.jpg,Facebook group archive,5,"רבי אברהם אבלי הלוי גומבינר (תשצ""ז-תמ""ג, 1637-1682), בעל ""מגן אברהם"" הידוע, חי בעוני וצער רב. בפרעות תח-תט נפגעו קרוביו רבים. בעיר קליש, שבה התגורר, גר בצרות גדולות עד שכתב חלק מחידושיו בפחם על הקיר, כיוון שלא היה לו דיו ונייר.

מסורת מקומית מעידה כי התגבר על חולשתו והלך פעמים רבות ברגל מקליש לפוזנא לעיין בספרים, כיוון שקליש לא היו בה ספרים.

הכין מהדורה ראשונה של חיבורו על שולחן ערוך עוד לפני גיל שלושים. כאשר ראה כי סדר אחר ""עולת שבת"" יצא לאור (תמ""א), כיסה מהדורה חדשה של ספרו המשיב להערות אותו ספר.",,
3,תשרי,"הרב ישראל ליפשיץ בן הרב גדליה ליפשיץ זצ""ל","הרב ישראל ליפשיץ בן הרב גדליה ליפשיץ (ה'תקמ""ב 1782  דנציג ג' בתשרי ה'תרכ""א 1860)",,,,,2935006116763819.jpg,Facebook group archive,5,,,
3,תשרי,"הרב חזקיהו יוסף מישקובסקי זצ""ל","הרב חזקיהו יוסף מישקובסקי (כ""ט באב תרמ""ד 1884  ג' בתשרי תש""ז 1946)",,,,,2935006116763819.jpg,Facebook group archive,5,,,
3,תשרי,"הרב גדליה אייזמן זצ""ל","הרב גדליה אייזמן (י""ד באייר תר""ע 1910– ג' בתשרי תשע""ב 2011)",,,,,2935006116763819.jpg,Facebook group archive,5,,,
3,תשרי,"הרב שלמה נח קרול זצ""ל","הרב שלמה נח קרול (ב' באב תרפ""ח 1928  ג' בתשרי תשנ""ט 1998)",,,,,2935006116763819.jpg,Facebook group archive,5,,,
3,תשרי,"רבי יוסף בכור ויטאל ( ג' תשרי) זצ""ל",רבי יוסף בכור ויטאל ( ג' תשרי),,,,,2935006116763819.jpg,Facebook group archive,5,,,
3,תשרי,"הרב אפרים זלכה הכהן זצ""ל","הרב אפרים זלכה הכהן (ה'תרמ""ו 1885, בגדאד  ג' בתשרי, ה'תשי""ז 1956, ירושלים)",,,,,2935006116763819.jpg,Facebook group archive,5,,,
3,תשרי,"הרב חכם אברהם חן זצ""ל",חכם אברהם חן,,,,,2935006116763819.jpg,Facebook group archive,5,,,
3,תשרי,"הרב חכם יעקב אבנדנה (אבן דאנה) זצ""ל",חכם יעקב אָבֶּנדָנָה (אבן דאנה),,,,,2935006116763819.jpg,Facebook group archive,5,,,
3,תשרי,"הרב חכם רחמים שאלתיאל יעקב ניניו זצ""ל",חכם רחמים שאלתיאל יעקב ניניו,,,,,2935006116763819.jpg,Facebook group archive,5,,,
3,תשרי,"רבי אברהם דאנציג זצ""ל","רבי אברהם דאנציג (תק""ח 1748 – תקפ""א 1820)",,,,,2935009683430129.jpg,Facebook group archive,5,,,
3,תשרי,"הרב נתן מרקוס בן מרדכי הכהן אדלר זצ""ל","הרב נתן מרקוס בן מרדכי הכהן אדלר (כ""א בטבת תקס""ג 1803 הנובר – כ""ט בטבת תר""ן 1890, ברייטון)",,,,,2935009683430129.jpg,Facebook group archive,5,,,
3,תשרי,"רבי משה טוביה מזונטהיים זצ""ל","רבי משה טוביה מזונטהיים (כ""ח בטבת ה'תקי""ג 1753, זונטהיים ליד היילברון  ד' בתשרי תקצ""א 1830, הנאו)",,,,,2935009683430129.jpg,Facebook group archive,5,,,
3,תשרי,"הרב רבה של הנאו, ומגדולי רבני יהדות גרמניה בתקופתו. זצ""ל","רבה של הנאו, ומגדולי רבני יהדות גרמניה בתקופתו.",,,,,2935009683430129.jpg,Facebook group archive,5,,,
3,תשרי,"הרב יהודה בן שלמה חי אלקלעי זצ""ל","הרב יהודה בן שלמה חי אלקלעי (תקנ""ח, 1798 – ד' בתשרי תרל""ט, 1878)",,,,,2935009683430129.jpg,Facebook group archive,5,,,
3,תשרי,"הרב ה'תפארת ישראל' זצ""ל",,,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"הרב ישראל ליפשיץ, בעל 'תפארת ישראל', היה גאון נודע שנפטר בשנת תרכ""א. שימש כרב בקהילות שונות, ומשנת תקצ""ז כיהן כרב העיר דנציג בצפון גרמניה, שם התפרסם בגאונותו וצדקתו. פירושו על המשנה 'תפארת ישראל' הוא באור מפורט העוסק בפשטות המשנה ודן בדברי פרשניה הקודמים. בנו העיד שאביו התייחד להתענות שלוש ימים ולילות ללא הפסק מלימודו.

הרב נפתלי טרופ, בעל 'חדושי הגרנט', נפטר בשנת תר""צ. למד ביישיבת קלם ואחרי כן אצל מלמדים גדולים בטעלז וסלבודקא. בשנת תרס""ד התמנה לראש יישיבת רדין, שם זכה לשם כמרביץ תורה בעל מעלה. הדגיש שמנוחת הנפש באה מהכרה שהכל מרחמי השם יתברך",,
4,תשרי,"רבי יואל בעל שם זצ""ל","הגה""ק רַבִּי יוֹאֵל ב""ר יִצְחָק אַיְיזִיק הַיילְפְּרִין מֵאוֹסְטְרָאָה – רַבִּי יוֹאֵל בַּעַל שֵׁם.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"רבי יואל בעל שם נפטר בשנת תע""ג. הוא היה מחבר ספר ""תולדות אדם"" והיה ראש ""ועד ארבע ארצות"" בזמנו. כמו כן, היה הוא מגדולי המקובלים בדורו. רבי יואל היה בקי מאוד בצרופי שמות הקדושים, בקמעות ובהשבעות. בעזרת ידע זה רפא חולים רבים, ואף אלה שנטרפה דעתם מצאו אצלו רפואה. הוא גם גרש דיבוקים ורוחות רעות. סגולות ורפואות רבות עד היום מקורן בו.",,
4,תשרי,"הרב ה'כוס הישועות' זצ""ל","הגה""ק רַבִּי צְבִי הִירְשׁ בְּהג""ר נַפְתָּלִי הִירְץ חָרִיף, אַבַּ""ד הַלְבֶּרְשְׁטַט.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"הרב בעל 'כוס הישועות' נפטר בשנת תק""ח. הוא החזיק ישיבה בעירו שאליה נהרו אלפי תלמידים מכל קצוי תבל. כמעט כל גדולי הדור שלאחריו היו תלמידיו שיצאו מביתמדרשו, ובתוכם הגאון משה חריף מברייסק, הגאון עקיבא איגר הראשון מפרעשבורג, הגאון מאיר בררבי, והגאון אריה ליב מהנובר – בנו של הפני יהושע.",,
4,תשרי,"הרב ה'חיי אדם' זצ""ל",,,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"הרב אברהם בן יחיאל מיכל דנציג מווילנא, בעל ספר ""חיי אדם"", היה גאון תורה. למד בפראג אצל הנודע ביהודה, ואחר כך עברר לווילנא שם עסק במסחר. הוא נהיה מגדולי תלמידי הגר""א וטיפל בהוראה ללא תשלום. בזקנותו, לאחר שירדו נכסיו, קיבל תפקיד של דיין בווילנא וכיהן בו עד פטירתו בשנת תקע""ג. הוא הוציא לאור את ספרו בווילנא בעילום שם, כפי שרצה שיתייחסו לתוכן הספר בלבד ולא לכותבו.",,
5,תשרי,"הרב ברוך שלום הלוי אשלג זצ""ל","הרב ברוך שלום הלוי אשלג (מכונה גם הרב""ש; ז' בשבט ה'תרס""ז 1907  ה' בתשרי ה'תשנ""ב 1991)",,,,,2935878456676585.jpg,Facebook group archive,5,,,
5,תשרי,"הרב בנימין גרג'י זצ""ל",הרב בנימין גרג'י,,,,,2935878456676585.jpg,Facebook group archive,5,,,
5,תשרי,"הרב חכם חיים מאימראן זצ""ל",חכם חיים מאימראן,,,,,2935878456676585.jpg,Facebook group archive,5,,,
5,תשרי,"הרב חכם יעקב מלמד כהן זצ""ל",חכם יעקב מלמד כהן,,,,,2935878456676585.jpg,Facebook group archive,5,,,
5,תשרי,"רבי נפתלי כהן צדק זצ""ל","הגה""ק רַבִּי נַפְתָּלִי בְּהג""ר יִצְחָק כֹּהֵן צֶדֶק, אַבַּ""ד לוּבְּלִין.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"רבי נפתלי כהן צדק היה חתנו של המהרל מפראג. נִפטר בשנת ת""ו. גדולי הדור שלחו לו שאלות הלכתיות, ובהן בעל הטורי זהב. החל כדרשן בעיר פראג, ואחר כך שימש כרב בכמה מקומות. בסופו של דבר, הוא כיהן כאב""ד בעיר לובלין הגדולה.",,
6,תשרי,"הרב הסבא משפולי זצ""ל","הרה""ק רַבִּי אַרְיֵה לֵייבּ ב""ר בָּרוּךְ – הַסַּבָּא מִשְּׁפּוֹלִי.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"הרב הסבא משפולי זצ""ל נפטר בשנת תקע""ב. קיבל את עיקר תורתו מהרה""ק ר' פינחס מקאריץ. לפי הוראתו נשא את בתו של השוחט ממידובקה וגר שם. כשהזקין חותנו, רצה למלא את מקומו כשוחט, אך רבו לא הסכים. ניסעו אל הבעל שם טוב הקדוש לשמוע עצתו. הבעל שם טוב צווה עליו לעשות גלות לשבע שנים. לבש בגדי עניים ונדד מעיר לעיר, הפץ דבר ה' והחזיר רבים לטובה. הצילו יהודים חוכרים חסרי אמצעים משבי הפריצים. אחר כך התיישב בזלטיפולא, ומשם עבר לשפאלא, ועל שמה נקרא עד היום.",,
6,תשרי,"רבי יהושע ברוך רייניץ זצ""ל",,,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"רבי יהושע ברוך רייניץ זצ""ל היה גאון תורה, בן הרב נתן פייטל רייניץ מטשעטשאוביץ. נפטר בשנת תרע""ג. הוא חיבר את ספר המכתבים.

הרב בירר את כוחה של התשובה בדוגמה מכתיבת ספר תורה: כאשר הכתב נכתב שלא לשמה, מעבירים עליו קולמוס ומקדישים אותו. כמו כן, האדם — אף שחטא — כאשר עושה תשובה, מעביר קדושה על כל ימיו. הזדונויות שלו מתהפכים לזכויות.",,
7,תשרי,"הרב נח גד וינטרוב זצ""ל","הרב נח גד וינטרוב (ד' בתשרי תרמ""ט 1888 – ז' בתשרי תשט""ו 1954)",,,,,2936939313237166.jpg,Facebook group archive,5,,,
7,תשרי,"רבי מנחם נחום טברסקי זצ""ל","היום ז' בתשרי יום פטירתו של רבי מנחם נחום טברסקי (ה'תקס""ה  ז' בתשרי ה'תרי""א)",,,חסידי,אדמו״ר,3219592958305132.jpg,Facebook group archive,5,"רבי מנחם נחום טברסקי היה בנו הרביעי של רבי מרדכי טברסקי, מייסד חסידות מקארוב. נישא להינדא, בתו של רבי יוסף הורוביץ מטורשין, והתגורר במקארוב. לאחר פטירת אביו בשנת ה'תקצ""ז, כיהן כאדמו""ר יחד עם שבעת אחיו. פטר בז' תשרי ה'תרי""א ונטמן בעירו מקארוב. בנו הבכור, הרב יעקב יצחק טברסקי, ירש את מקומו. בעל חכמה עמוקה בתורה, בירר את נוסח התפילה בימים נוראים וטען שכאשר אין מליץ יושר לאדם, עליו להודות בשלום על כל חטאיו לפני הקדוש ברוך הוא.",,
7,תשרי,"רבי יחיאל מיכל מחסידות ברנזה זצ""ל",רבי יחיאל מיכל מחסידות ברנזה,,,,,2936939313237166.jpg,Facebook group archive,5,"רבי יחיאל מיכל מחסידות ברנזה גדל אצל סבו רבי אהרן, שהכתירו לכהן בקוריץ. נישא לבתו של הרב אברהם יהושע מברדיצ'ב. רבי יחיאל מיכל נפטר בז' בתשרי תרע""ז. חתנו רבי יצחק מהורחוב ביקש להקים אוהל על קברו, אך חלק מהרבנים התנגדו. רבי יצחק פנה לרב זלמן סורוצקין, אשר פסק להיתר. רבי מאיר כיהן ברובנה ונפטר בז' בתשרי תרצ""ב.",,
7,תשרי,"הרב יעקב ענתיבי זצ""ל","הרב יעקב ענתיבי (ה'תקמ""ז, 1787  ז' בתשרי ה'תר""ז, 1846)",,,,,2936939313237166.jpg,Facebook group archive,5,,,
7,תשרי,"הרב חכם יעקב ענתבי נולד לאביו חכם דוד יצחק ענתבי ולאמו בשנת תקמ""ז בחלב, שבסוריה. זצ""ל","חכם יעקב ענתבי נולד לאביו חכם דוד יצחק ענתבי ולאמו בשנת תקמ""ז (1787) בחלב, שבסוריה.",,,,,2936939313237166.jpg,Facebook group archive,5,"הרב חכם יעקב ענתבי נולד בשנת תקמ""ז בחלב, סוריה, לאביו חכם דוד יצחק ענתבי. למד תורה מאביו החכם יצחק ענתבי, וגדל בתורה וביראה על ידי חכמי חלב. בשנת תקס""ט נסמך לרבנות מהראשון לציון חכם רפאל יוסף חזן. יעקב נשא את מרת מזל טוב והשתמש כאב בית דין ורב דמשק.

בשנת ת""ר חקק עלילת הדם בדמשק על היהודים. ענתבי עונה בעינויים קשים ונאסר שישה חודשים, עד ששוחרר בעקבות השתדלות סר משה מונטפיורי. בשנת תר""א כתב את מסכת ייסוריו, שפורסמה בסוף 'אהל ישרים'.

עם שחרורו עלה לירושלים. הראשון לציון חכם אברהם חיים גאגין הכניסו את מצנפתו. סירב ענתבי לתפקיד רשמי והקדיש עצמו לתורה.",,
7,תשרי,"רבי דוד אופנהיים זצ""ל","רבי דוד אופנהיים ( 1664, וורמיזא  ז' בתשרי ה'תצ""ז 1736, פראג)",,,,,2936939313237166.jpg,Facebook group archive,5,"רבי דוד אופנהיים (1664-1736) נולד בווֹרמיזא ונפטר בפראג, שם היה אב בית דין. הוא היה גאון תורה וחוקר, וחיבר את הספר ""נשאל דוד"". שילב בחייו תורה וגדולה, והיה נדיב לעניי ישראל. בימיו הקימו ספרייה ענקית המכילה יותר משבעת אלפים ספרים וחלקים רבים של כתבי יד עתיקים. לפני מותו מכר את הספרייה לנוצרים, בטענה שכך יישארו הספרים מוגנים לעולם, שכן יהודים עלולים להפיץ אותם בגלויות. בזכות מעשיו, נשמרו אלפי כתבי יד של חכמי ישראל הראשונים.",,
7,תשרי,"הרב חכם יוסף ברבי זצ""ל",חכם יוסף ברבי,,,,,2936939313237166.jpg,Facebook group archive,5,,,
8,תשרי,"רבי נח יפה מלעכוויטש (ה'תקל""ה – ח' בתשרי ה'תקצ""ג) זצ""ל","רבי נח יפה מלעכוויטש (ה'תקל""ה – ח' בתשרי ה'תקצ""ג)",,,,,,Facebook group archive,5,,,
8,תשרי,"הרב ר' ברוך אבי ר' שניאור זלמן מלאדי, האדמו""ר הזקן. זצ""ל","ר' ברוך אבי ר' שניאור זלמן מלאדי, האדמו""ר הזקן.",,,חסידי,אדמו״ר,,Facebook group archive,5,,,
8,תשרי,"רבי אשר מרדכי מקליבלנדסטרוז'ניץ זצ""ל",רבי אשר מרדכי מקליבלנדסטרוז'ניץ,,,,,,Facebook group archive,5,,,
8,תשרי,"הרב הראשון היה רבי ישכר בער רוזנבוים. זצ""ל","האדמו""ר הראשון היה רבי ישכר בער רוזנבוים.",,,חסידי,אדמו״ר,,Facebook group archive,5,"רבי ישכר בער רוזנבוים נישא לבתו היחידה של רבי מאיר לייפר מקליבלנד, בנו של רבי ישכר בער מסאטמר. לאחר פטירת חמיו בשנת תש""א, ירש את מקומו והיה ידוע כאדמו""ר מקליבלנד. כיהן כאדמו""ר בוויליאמסבורג. פטר בח' בתשרי תשנ""א.",,
8,תשרי,"רבי יקותיאל יהודה (זלמן לייב) הלברשטאם אדמו""ר מברדיוב בוויליאמסבורג. זצ""ל","רבי יקותיאל יהודה (זלמן לייב) הלברשטאם אדמו""ר מברדיוב בוויליאמסבורג.",,,חסידי,אדמו״ר,,Facebook group archive,5,,,
8,תשרי,"הרב חתנו אחיינו (בן אחיו הרב שמואל) של האדמו""ר. זצ""ל","חתנו אחיינו (בן אחיו הרב שמואל) של האדמו""ר.",,,,,,Facebook group archive,5,"הרב היה חתנו ואחיינו של האדמו""ר, בנו של הרב שמואל. נולד בסביבות שנת תר""ס והתגורר בנייטרא לפני המלחמה. לאחר המלחמה היגר לארצות הברית, והתיישב בתחילה בברונקס. בשנת תשי""ח עבר לווילאמסבורג ובנה את בית מדרשו. נפטר בח' בתשרי תש""ל.",,
8,תשרי,"רבי משה מקוזלוב. זצ""ל",רבי משה מקוזלוב.,,,,,,Facebook group archive,5,,,
8,תשרי,"הרב אבנר ישראל הצרפתי זצ""ל","הרב אבנר ישראל הצרפתי (כ""א בשבט ה'תקפ""ז  1827 ח' בתשרי ה'תרמ""ד  1883)",,,,,,Facebook group archive,5,,,
8,תשרי,"הרב חכם זבולון שושנה זצ""ל",חכם זבולון שושנה,,,,,,Facebook group archive,5,,,
8,תשרי,"הרב חכם אברהם כלפון זצ""ל",חכם אברהם כלפון,,,,,,Facebook group archive,5,,,
8,תשרי,"רבי שלמה בן ציון כינוקא. זצ""ל",רבי שלמה בן ציון כינוקא.,,,,,,Facebook group archive,5,,,
8,תשרי,"רבי משה פריסקו זצ""ל","הגה""ק רַבִּי מֹשֶׁה פְּרִיסְקוֹ, אַבַּ""ד קוּשְׁטָא.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"רבי משה פריסקו היה גאון גדול בכל שטחי התורה. שימש כראש ישיבה (אב""ד) בקושטא בטורקיה, והיה מקור השראה רבים בדורו. תלמידים ורבנים מכל עבר שלחו לו שאלות הלכה לשם הנחיה מעשית. כתביו נשאו את חותמו של גדול וזכו להערצה רבה. ספרו ""ידיו של משה"" ערך רבי שמואל חיים בעל ""שמן המשחה"". בהקדמתו תיאר את פטירתו הפתאומית של רבי משה בשנת תקס""ח, אשר בא כדי לדרוש בשבת תשובה, ונפטר תוך דברי תורה.",,
8,תשרי,"רבי נח מלעכוויטש זצ""ל","הרה""ק רַבִּי נֹחַ ב""ר מָרְדְּכַי מִלֶּעכָוִויטְשׁ.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"רבי נח מלעכוביץ נפטר בשנת תקצ""ג. הוא היה ממשיך שושלת הצדיקים מסלאנים. רבי משה מקאברין אמר עליו שעקבותיו לא נודעו, וששניים בלבד הכירו את גדל קדושתו — הוא ורבי מכאל. רבי מרדכי מטשערנאביל אמר שרבי נח נשרף מגדל אהבת ה' הבוערת בו. הרב היה אומר בחוזק: מי שהולך לבדו, הוא תלמידו של בלעם הרשע, כפי שכתוב ""ויילך שפי"".",,
8,תשרי,"רבי יצחק מיאברוב זצ""ל","הגה""צ רַבִּי יִצְחָק בהרה""ק רַבִּי אֱלִימֶלֶךְ רוּבִּין מִיַּאבְרוֹב.",,,,,,לוח צדיקים (רב ישראל יעקב פרבר),5,"רבי יצחק מיאברוב זצ""ל נפטר בשנת תשל""א. בשנת תרפ""ה התיישב בארצות הברית, כדי להגן על יוצאי חלציו מהאוירה הקלוקלת שהייתה אז. הוא השאיר את משפחתו בפולין, ונהרגו כולם על קידוש השם. בשנת תשכ""א עלה לארץ הקודש והשתקע שם. כנכד של הרה""ק מראפשיץ, היה הראשון שמסר קווטל לכ""ק מרן אדמו""ר מבעלזא. הקדיש את ביתו לתלמוד תורה בירושלים, ומעזבונו הוקם מושב זקנים ""ויזרע יצחק"" על שמו.",,
9,תשרי,"רבי אברהם בן יעקב סבע זצ""ל",רבי אברהם בן יעקב סבע,,,ספרדי,,2939718676292563.jpg,Facebook group archive,5,,,
9,תשרי,"רבי יונה לנדסופר זצ""ל",רבי יונה לנדסופר,,,,,2939718676292563.jpg,Facebook group archive,5,,,
9,תשרי,"הרב חכם שמואל דוד לוצאטו, המכונה שד""ל זצ""ל","חכם שמואל דוד לוצאטו, המכונה שד""ל",,,,,2939718676292563.jpg,Facebook group archive,5,,,
9,תשרי,"הרב חכם ששון עזרא סחייק זצ""ל",חכם ששון עזרא סחייק,,,,,2939718676292563.jpg,Facebook group archive,5,,,
9,תשרי,"רבי יצחק אייזיק הכהן כץ זצ""ל","רבי יצחק אייזיק הכהן כץ (תקי""ג, 1753  ט""ו בתשרי תקמ""ח, 1787)",,,,,2943201575944273.jpg,Facebook group archive,5,,,
9,תשרי,"רבי מרדכי לייפר מנדבורנה (י""ט באייר תקפ""דט""ו בתשרי תרנ""ה) זצ""ל","רבי מרדכי לייפר מנדבורנה (י""ט באייר תקפ""דט""ו בתשרי תרנ""ה)",,,,,2943201575944273.jpg,Facebook group archive,5,,,
9,תשרי,"הרב מאיר אריק זצ""ל","הרב מאיר אריק (חתם את שמו לעיתים אראק או אריק; תרט""ו, 1855–ט""ו בתשרי תרפ""ו, 1925)",,,,,2943201575944273.jpg,Facebook group archive,5,,,
9,תשרי,"הרב אברהם אלקנה כהנא שפירא (כונה ""רב אברום""; י""ד באייר ה'תרע""ד, 1914 זצ""ל","הרב אברהם אלקנה כהנא שפירא (כונה ""רֵבּ אברוֹם""; י""ד באייר ה'תרע""ד, 1914",,,,,2943201575944273.jpg,Facebook group archive,5,"הרב אברהם אלקנה כהנא שפירא, שנודע בשמו ""רב אברום"", נולד ביום י""ד באייר בשנת ה'תרע""ד (1914). הרב עבד בתורה ובמצוות במהלך חייו. פטיר לעולמו ביום ט""ו בתשרי בשנת ה'תשס""ח (2007), במשך תשעים ושלוש שנים של חיים מלאים בשירות הקהילה היהודית.",,
9,תשרי,"רבי שמעון מרילס (מרילוס) זצ""ל",רבי שמעון מרילס (מרילוס),,,,,2943201575944273.jpg,Facebook group archive,5,,,
9,תשרי,"הרב חכם אפרים ארדיט זצ""ל",חכם אפרים ארדיט,,,,,2943201575944273.jpg,Facebook group archive,5,,,
9,תשרי,"רבי צבי הירש שפירא זצ""ל","רבי צבי הירש שפירא (י""א בתמוז ה'תר""י 1850  ט""ז בתשרי ה'תרע""ד 1913)",,,,,2944206192510478.jpg,Facebook group archive,5,,,
